id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1.4199688212321208e+19,0,14102101,1005,0,12fb4121,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,183586aa,8bfcd3c6,1,0,20970,320,50,2372,0,813,-1,46
1.5237701630207834e+19,0,14102101,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,842b567e,8a4875bd,1,0,19950,320,50,1800,3,167,100081,23
1.7186052074529728e+18,0,14102102,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,95b2935e,158e4944,1,0,17753,320,50,1993,2,1063,-1,33
1.1650949510540665e+19,0,14102101,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a055a3cb,16954458,1,0,17614,320,50,1993,2,1063,-1,33
6.237500458116892e+18,0,14102102,1002,0,85f751fd,c4e18dd6,50e219e0,5aa287d6,7801e8d9,07d7df22,da3579c6,03b96c47,9ba193f2,0,0,20362,320,50,2333,0,39,100183,157
1.2797508036734415e+19,0,14102100,1005,0,517b8671,ac5abf20,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,315f60a1,9efa421a,1,0,19870,320,50,2271,0,687,100077,48
1.3721443334971092e+18,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,b2a0f2da,b511840f,1,0,19251,320,50,2201,3,35,-1,43
2.7268778500640563e+18,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a8b5d6a6,81b42528,1,0,15707,320,50,1722,0,35,100083,79
5.448844403097192e+17,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,57bce7c6,d787e91b,1,0,20352,320,50,2333,0,39,-1,157
6.474203590069292e+17,1,14102100,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8de03934,e24c8b65,1,2,16615,320,50,1863,3,39,-1,23
1.6966572705873508e+19,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,35f0a8a1,be87996b,1,2,15703,320,50,1722,0,35,-1,79
2.1145588380311035e+18,1,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,5e49217d,f07e20f8,1,2,15701,320,50,1722,0,35,-1,79
1.7720730542722497e+19,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,c8e3e3c1,b5f3b24a,8ded1f7a,fa9131f0,34d9ec4a,2891f384,1,0,21647,320,50,2487,1,547,-1,51
1.4171768786711376e+19,0,14102101,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,8e7d06db,d787e91b,1,0,21647,320,50,2487,1,547,-1,51
1.6525227342742342e+19,1,14102102,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f832adc6,a5fbe35d,1,0,17614,320,50,1993,2,1063,-1,33
7.780511848837215e+18,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,bf235232,edead9f4,1,0,15707,320,50,1722,0,35,-1,79
1.0939424872353659e+19,0,14102102,1005,0,ee8b8550,f415c8a8,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,eb531ff6,be74e6fe,1,0,21153,320,50,2420,2,35,-1,69
1.2517670582030526e+19,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,5b905b16,ecb851b2,1,0,15708,320,50,1722,0,35,-1,79
1.7900975380923972e+19,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,da09c644,711ee120,1,0,15707,320,50,1722,0,35,100084,79
4.661513640741864e+18,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a99f214a,b56ca2b9,8d96a23d,1,2,21611,320,50,2480,3,297,100111,61
1.2038924461108507e+19,0,14102100,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c6563308,a0f5f879,1,0,17753,320,50,1993,2,1063,-1,33
1.432535282848397e+19,1,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e58e2d12,a0f5f879,1,0,20632,320,50,2374,3,39,-1,23
5.755782973633691e+18,0,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,bca8f26d,a8d2c4cf,1,0,15699,320,50,1722,0,35,-1,79
1.5311064326400254e+19,0,14102102,1005,0,030440fe,08ba7db9,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,550bebd9,8a4875bd,1,0,20596,320,50,2161,0,35,-1,157
1.782601349261318e+19,0,14102101,1005,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,bb09d708,711ee120,1,0,17654,300,250,1994,2,39,-1,33
5.812267035558185e+18,0,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,65921cba,aaffed8f,1,0,15704,320,50,1722,0,35,100084,79
1.6444426861444342e+19,1,14102102,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9c557331,05e70df4,1,0,20093,300,250,2295,2,35,100075,23
1.5570800016416426e+19,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,fd2f005f,ae637522,0f2161f8,a99f214a,5e192072,01dbc3bc,1,2,21137,728,90,2418,0,423,100032,195
1.0001646265802793e+19,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,aee65c20,ad63ec9b,0f2161f8,ea279d55,b3006572,a264bba3,1,5,21611,320,50,2480,3,297,100111,61
4.2149557315825874e+18,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,71f49266,d787e91b,1,0,20366,320,50,2333,0,39,-1,157
1.0060102621715855e+18,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,470f78e3,24f6b932,1,0,20362,320,50,2333,0,39,-1,157
1.6488589222001914e+19,0,14102102,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,3ab218d5,d787e91b,1,0,21647,320,50,2487,1,547,-1,51
6.935289657361736e+18,0,14102101,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,5e27e9a5,2ea4f8ba,1,0,20508,320,50,2351,3,163,-1,61
3.4297723886965693e+18,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,2203a096,1,0,15703,320,50,1722,0,35,-1,79
6.15831897109858e+18,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,99c72809,d787e91b,1,0,20352,320,50,2333,0,39,-1,157
2.675731831276649e+18,0,14102102,1005,1,93de26ae,7d05db75,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,5536296c,0cc7fb75,1,0,18993,320,50,2161,0,35,-1,157
1.082647467649768e+19,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6f16eda8,889ad79d,1,0,6616,320,50,576,2,35,100131,32
4.3340793141707674e+18,0,14102102,1005,1,030fed15,34a2a30f,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7b57e5ee,8a4875bd,1,0,16208,320,50,1800,3,167,100075,23
1.7919090773416935e+19,1,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,95b2935e,d787e91b,1,0,15704,320,50,1722,0,35,-1,79
6.040088623211191e+18,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ceffea69,6332421a,1,0,15702,320,50,1722,0,35,-1,79
1.1722382904156522e+19,1,14102103,1010,1,85f751fd,c4e18dd6,50e219e0,c7f29df3,7801e8d9,0f2161f8,d9d3ceda,529f9152,7c997db0,4,0,21665,320,50,2493,3,35,-1,117
